genome	full_name	source	taxid	MARMICRODBtaxid	level 1	level 2	level 3	level 4	level 5	level 6	level 7	level 8	level 9	level 10	level 11	level 12	domain	taxgroup	taxclade	habitat_source	sequence_type	assembly_ftp	gbk_acc	gtdb_taxonomy
UBA7370	Synechococcus sp. UBA7370	Parks 2017	1947247	2183057	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1A	Synechococcus subsubclade WPCI	Synechococcus sp. UBA7370					bacteria	synechococcus	Syn5.1AWPCI	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/470/335/GCA_002470335.1_ASM247033v1	GCA_002470335.1	NA
AG-679-C18	Synechococcus sp. AG-679-C18	Berube 2018	2161967	2183071	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade I	Synechococcus sp. AG-679-C18					bacteria	synechococcus	Syn5.1BI	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/755/GCA_003210755.1_ASM321075v1	GCA_003210755.1	NA
AG-683-A03	Synechococcus sp. AG-683-A03	Berube 2018	2161956	2183072	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade I	Synechococcus sp. AG-683-A03					bacteria	synechococcus	Syn5.1BI	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/555/GCA_003210555.1_ASM321055v1	GCA_003210555.1	NA
AG-686-A03	Synechococcus sp. AG-686-A03	Berube 2018	2161960	2183073	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade I	Synechococcus sp. AG-686-A03					bacteria	synechococcus	Syn5.1BI	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/208/775/GCA_003208775.1_ASM320877v1	GCA_003208775.1	NA
AG-686-F08	Synechococcus sp. AG-686-F08	Berube 2018	2161976	2183074	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade I	Synechococcus sp. AG-686-F08					bacteria	synechococcus	Syn5.1BI	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/315/GCA_003210315.1_ASM321031v1	GCA_003210315.1	NA
CC9311	Synechococcus sp. CC9311	NA	64471	2183075	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade I	Synechococcus sp. CC9311					bacteria	synechococcus	Syn5.1BI	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/585/GCA_000014585.1_ASM1458v1	GCA_000014585.1	NA
NP17	Synechococcus sp. NP17	Tully 2018	2024885	2183076	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade I	Synechococcus sp. NP17					bacteria	synechococcus	Syn5.1BI	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/729/835/GCA_002729835.1_ASM272983v1	GCA_002729835.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Synechococcus_C;s__
UBA1269	Synechococcus sp. UBA1269	Parks 2017	1947242	2183077	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade I	Synechococcus sp. UBA1269					bacteria	synechococcus	Syn5.1BI	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/308/455/GCA_002308455.1_ASM230845v1	GCA_002308455.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp1
UBA1273	Synechococcus sp. UBA1273	Parks 2017	1947243	2183078	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade I	Synechococcus sp. UBA1273					bacteria	synechococcus	Syn5.1BI	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/308/835/GCA_002308835.1_ASM230883v1	GCA_002308835.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp1
UBA1528	Synechococcus sp. UBA1528	Parks 2017	1947244	2183079	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade I	Synechococcus sp. UBA1528					bacteria	synechococcus	Syn5.1BI	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/323/815/GCA_002323815.1_ASM232381v1	GCA_002323815.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Synechococcus_C;s__
UBA7448	Synechococcus sp. UBA7448	Parks 2017	1947248	2183080	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade I	Synechococcus sp. UBA7448					bacteria	synechococcus	Syn5.1BI	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/478/645/GCA_002478645.1_ASM247864v1	GCA_002478645.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp1
UBA7854	Synechococcus sp. UBA7854	Parks 2017	1947249	2183081	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade I	Synechococcus sp. UBA7854					bacteria	synechococcus	Syn5.1BI	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/500/205/GCA_002500205.1_ASM250020v1	GCA_002500205.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp1
WH8016	Synechococcus sp. WH 8016	NA	166318	2183082	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade I	Synechococcus sp. WH8016					bacteria	synechococcus	Syn5.1BI	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/675/GCA_000230675.2_ASM23067v1	GCA_000230675.2	NA
WH8020	Synechococcus sp. WH 8020	NA	32052	2183083	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade I	Synechococcus sp. WH8020					bacteria	synechococcus	Syn5.1BI	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/040/845/GCA_001040845.1_ASM104084v1	GCA_001040845.1	NA
AG-670-F22	Synechococcus sp. AG-670-F22	Berube 2018	2161943	2183084	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. AG-670-F22					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/209/155/GCA_003209155.1_ASM320915v1	GCA_003209155.1	NA
AG-673-A03	Synechococcus sp. AG-673-A03	Berube 2018	2161945	2183085	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. AG-673-A03					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/275/GCA_003211275.1_ASM321127v1	GCA_003211275.1	NA
AG-673-D02	Synechococcus sp. AG-673-D02	Berube 2018	2161927	2183086	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. AG-673-D02					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/209/005/GCA_003209005.1_ASM320900v1	GCA_003209005.1	NA
AG-673-F03	Synechococcus sp. AG-673-F03	Berube 2018	2161948	2183087	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. AG-673-F03					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/205/GCA_003211205.1_ASM321120v1	GCA_003211205.1	NA
AG-676-A21	Synechococcus sp. AG-676-A21	Berube 2018	2161963	2183088	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. AG-676-A21					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/211/015/GCA_003211015.1_ASM321101v1	GCA_003211015.1	NA
AG-676-C06	Synechococcus sp. AG-676-C06	Berube 2018	2161950	2183089	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. AG-676-C06					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/995/GCA_003210995.1_ASM321099v1	GCA_003210995.1	NA
AG-676-E23	Synechococcus sp. AG-676-E23	Berube 2018	2161951	2183090	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. AG-676-E23					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/935/GCA_003210935.1_ASM321093v1	GCA_003210935.1	NA
AG-679-A02	Synechococcus sp. AG-679-A02	Berube 2018	2161964	2183091	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. AG-679-A02					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/815/GCA_003210815.1_ASM321081v1	GCA_003210815.1	NA
AG-679-A04	Synechococcus sp. AG-679-A04	Berube 2018	2161965	2183092	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. AG-679-A04					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/775/GCA_003210775.1_ASM321077v1	GCA_003210775.1	NA
AG-679-E23	Synechococcus sp. AG-679-E23	Berube 2018	2161968	2183093	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. AG-679-E23					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/705/GCA_003210705.1_ASM321070v1	GCA_003210705.1	NA
AG-683-F20	Synechococcus sp. AG-683-F20	Berube 2018	2161959	2183094	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. AG-683-F20					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/495/GCA_003210495.1_ASM321049v1	GCA_003210495.1	NA
AG-683-G11	Synechococcus sp. AG-683-G11	Berube 2018	2161971	2183095	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. AG-683-G11					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/210/475/GCA_003210475.1_ASM321047v1	GCA_003210475.1	NA
CPC100	Synechococcus sp. CPC100	Tully 2018	2024879	2183096	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. CPC100					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/685/515/GCA_002685515.1_ASM268551v1	GCA_002685515.1	NA
EAC657	Synechococcus sp. EAC657	Tully 2018	2024881	2183097	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. EAC657					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/693/285/GCA_002693285.1_ASM269328v1	GCA_002693285.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Synechococcus_C;s__
MIT9504	Synechococcus sp. MIT S9504	NA	1801628	2183098	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. MIT9504					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/105/GCA_001632105.1_ASM163210v1	GCA_001632105.1	NA
MIT9508	Synechococcus sp. MIT S9508	NA	1801629	2183099	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. MIT9508					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/165/GCA_001632165.1_ASM163216v1	GCA_001632165.1	NA
MIT9509	Synechococcus sp. MIT S9509	NA	1801630	2183100	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. MIT9509					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/631/935/GCA_001631935.1_ASM163193v1	GCA_001631935.1	NA
TMED90	Synechococcus sp. TMED90	Tully 2017	1986600	2183101	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. TMED90					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/172/935/GCA_002172935.1_ASM217293v1	GCA_002172935.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Synechococcus_C;s__
WH7803	Synechococcus sp. WH 7803	NA	32051	2183102	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. WH7803					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/505/GCA_000063505.1_ASM6350v1	GCA_000063505.1	NA
WH7805	Synechococcus sp. WH 7805	NA	59931	2183103	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade V.VI.VII	Synechococcus sp. WH7805					bacteria	synechococcus	Syn5.1BV.VI.VII	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/285/GCA_000153285.1_ASM15328v1	GCA_000153285.1	NA
NAT40	Synechococcus sp. NAT40	Tully 2018	2024884	2183067	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade VIII.IX	Synechococcus sp. NAT40					bacteria	synechococcus	Syn5.1BVIII.IX	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/698/505/GCA_002698505.1_ASM269850v1	GCA_002698505.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Synechococcus_C;s__
RS9916	Synechococcus sp. RS9916	NA	221359	2183068	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade VIII.IX	Synechococcus sp. RS9916					bacteria	synechococcus	Syn5.1BVIII.IX	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/825/GCA_000153825.1_ASM15382v1	GCA_000153825.1	NA
RS9917	Synechococcus sp. RS9917	NA	221360	2183069	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade VIII.IX	Synechococcus sp. RS9917					bacteria	synechococcus	Syn5.1BVIII.IX	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/065/GCA_000153065.1_ASM15306v1	GCA_000153065.1	NA
TMED187	Synechococcus sp. TMED187	Tully 2017	1986595	2183070	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.1	Synechococcus subclade 5.1B	Synechococcus subsubclade VIII.IX	Synechococcus sp. TMED187					bacteria	synechococcus	Syn5.1BVIII.IX	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/171/995/GCA_002171995.1_ASM217199v1	GCA_002171995.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__Synechococcus_C;s__
CB0101	Synechococcus sp. CB0101	NA	232348	2183104	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.2	Synechococcus sp. CB0101							bacteria	synechococcus	Syn5.2	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/235/GCA_000179235.1_ASM17923v1	GCA_000179235.1	NA
CB0205	Synechococcus sp. CB0205	NA	232363	2183105	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.2	Synechococcus sp. CB0205							bacteria	synechococcus	Syn5.2	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/255/GCA_000179255.1_ASM17925v1	GCA_000179255.1	NA
GFB01	Synechococcus sp. GFB01	NA	1662190	2183106	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.2	Synechococcus sp. GFB01							bacteria	synechococcus	Syn5.2	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/039/265/GCA_001039265.1_ASM103926v1	GCA_001039265.1	NA
WH5701	Synechococcus sp. WH 5701	NA	69042	2183107	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.2	Synechococcus sp. WH5701							bacteria	synechococcus	Syn5.2	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/045/GCA_000153045.1_ASM15304v1	GCA_000153045.1	NA
AG-420-M02	Synechococcus sp. AG-420-M02	Berube 2018	2161934	2183108	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.3	Synechococcus sp. AG-420-M02							bacteria	synechococcus	Syn5.3	marine	sag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/213/755/GCA_003213755.1_ASM321375v1	GCA_003213755.1	NA
RCC307	Synechococcus sp. RCC307	NA	316278	2183109	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.3	Synechococcus sp. RCC307							bacteria	synechococcus	Syn5.3	marine	isolate	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/525/GCA_000063525.1_ASM6352v1	GCA_000063525.1	NA
TMED155	Synechococcus sp. TMED155	Tully 2017	1986592	2183110	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.3	Synechococcus sp. TMED155							bacteria	synechococcus	Syn5.3	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/171/075/GCA_002171075.1_ASM217107v1	GCA_002171075.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__RCC307;s__RCC307 sp1
TMED185	Synechococcus sp. TMED185	Tully 2017	1986594	2183111	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.3	Synechococcus sp. TMED185							bacteria	synechococcus	Syn5.3	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/172/045/GCA_002172045.1_ASM217204v1	GCA_002172045.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__RCC307;s__
TMED19	Synechococcus sp. TMED19	Tully 2017	1986596	2183112	Bacteria	Cyanobacteria	Synechococcales	Synechococcaceae:Synechococcus	Synechococcus clade 5.3	Synechococcus sp. TMED19							bacteria	synechococcus	Syn5.3	marine	mag	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/168/155/GCA_002168155.1_ASM216815v1	GCA_002168155.1	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales_A;f__Cyanobiaceae;g__RCC307;s__