	read_counts	read_counts	read_counts	big_index	big_index	big_index	small_index	read_counts	analysis	analysis	analysis
type	1_trimmed	2_trimmed	unpaired_trimmed	all	paired	unpaired	all	all	pct_reads_mapped_big_index	pct_reads_mapped_small_index	pct_mapped_reads_small_of_big_index
sample											
G1St3100m_S30	145079915.0	145079915.0	10444754.0	23051046.0	22182926.0	868120.0	23128840.0	300604584.0	0.07668228372725015	0.07694107552265404	1.0033748576962624
G1St35m_S29	120514189.0	120514189.0	8589209.0	21076438.0	20195654.0	880784.0	18809290.0	249617587.0	0.08443490802593168	0.07535242298452312	0.8924321083097628
G1St55m_S31	153236875.0	153236875.0	13667954.0	37792018.0	36266910.0	1525108.0	38880938.0	320141704.0	0.11804778174105052	0.12144915052991659	1.0288134917801954
G1St560m_S32	147019808.0	147019808.0	12266502.0	29098287.0	27950998.0	1147289.0	30255733.0	306306118.0	0.09499740713634718	0.09877613022407865	1.0397771181513193
G1St95m_S33	175758197.0	175758197.0	16019199.0	22598765.0	21483753.0	1115012.0	15636354.0	367535593.0	0.06148728294731444	0.04254378160321468	0.691911881025357
G1St965m_S34	176607637.0	176607637.0	14106272.0	21438307.0	20401958.0	1036349.0	15818436.0	367321546.0	0.05836387011177395	0.04306427480842629	0.7378584512293811
G1UW10_S9	173094344.0	173094344.0	14642547.0	30233066.0	29034261.0	1198805.0	26933016.0	360831235.0	0.08378727523408554	0.07464158694576427	0.8908463336136666
G1UW11_S10	197163529.0	197163529.0	14686899.0	44443410.0	42793584.0	1649826.0	44306761.0	409013957.0	0.1086598861466236	0.10832579241299582	0.9969253259369611
G1UW12_S11	153016661.0	153016661.0	11868944.0	33978515.0	32666742.0	1311773.0	26912589.0	317902266.0	0.10688352564306666	0.08465680140826679	0.7920472392628106
G1UW13_S12	146963516.0	146963516.0	11701493.0	31991359.0	30757826.0	1233533.0	29607532.0	305628525.0	0.10467399598908511	0.09687424300464101	0.9254852849483513
G1UW14_S13	103172318.0	103172318.0	8474548.0	16874348.0	16198684.0	675664.0	14138987.0	214819184.0	0.07855140162900907	0.06581808354695175	0.8378982702027954
G1UW15_S14	115724369.0	115724369.0	12244115.0	8627854.0	8088908.0	538946.0	5864341.0	243692853.0	0.03540462468958825	0.02406447676986243	0.6796986828937995
G1UW16_S15	124306049.0	124306049.0	11296090.0	8047431.0	7587532.0	459899.0	5684185.0	259908188.0	0.03096259129781629	0.021869972792084566	0.7063353509958644
G1UW17_S16	104695656.0	104695656.0	10347892.0	8212912.0	7727345.0	485567.0	5588858.0	219739204.0	0.03737572472502449	0.025434050448275947	0.6804965157303524
G1UW18_S17	194911714.0	194911714.0	16470484.0	25814325.0	24635144.0	1179181.0	18290476.0	406293912.0	0.0635360861621771	0.04501784412659376	0.7085397739433434
G1UW19_S18	109243588.0	109243588.0	9795914.0	14567798.0	13901496.0	666302.0	11953676.0	228283090.0	0.06381461719306498	0.05236338793206277	0.8205547605753457
G1UW1_S1	87997173.0	87997173.0	9450566.0	24451747.0	23162391.0	1289356.0	27002437.0	185444912.0	0.13185450458732456	0.14560893965103772	1.104315245859529
G1UW20_S19	133904483.0	133904483.0	12472600.0	17331370.0	16480922.0	850448.0	10684909.0	280281566.0	0.0618355685939046	0.038122054020491666	0.6165068889533833
G1UW21_S20	138965821.0	138965821.0	13328914.0	19073756.0	18066982.0	1006774.0	11972891.0	291260556.0	0.06548691749390192	0.04110714874828433	0.6277154326604576
G1UW22_S21	136057199.0	136057199.0	11559134.0	21096838.0	20190011.0	906827.0		283673532.0	0.07437013193039102		
G1UW23_S22	135477004.0	135477004.0	13894992.0	17007585.0	16050150.0	957435.0		284849000.0	0.059707371273903014		
G1UW24_S23	187244664.0	187244664.0	18081489.0	19288854.0	18185002.0	1103852.0		392570817.0	0.04913471191619422		
G1UW25_S24	150041991.0	150041991.0	13554566.0	25609425.0	24439103.0	1170322.0		313638548.0	0.0816526704491694		
G1UW26_S25	142224872.0	142224872.0	12610684.0	15299530.0	14548552.0	750978.0		297060428.0	0.05150309013895314		
G1UW27_S26	154652203.0	154652203.0	18937034.0	22166304.0	20592172.0	1574132.0		328241440.0	0.06753048609584457		
G1UW28_S27	163974042.0	163974042.0	14406435.0	28708553.0	27339044.0	1369509.0		342354519.0	0.08385621163656963		
G1UW29_S28	195082028.0	195082028.0	15158874.0	36163629.0	34647649.0	1515980.0		405322930.0	0.08922176941728907		
G1UW2_S2	61774069.0	61774069.0	9086606.0	6628917.0	6062940.0	565977.0		132634744.0	0.04997873709470876		
G1UW3_S3	126729960.0	126729960.0	13085545.0	21646198.0	20461341.0	1184857.0		266545465.0	0.081210153022112		
G1UW4_S4	147522909.0	147522909.0	12257346.0	25918089.0	24685004.0	1233085.0		307303164.0	0.08434045605856502		
G1UW5_S5	110161700.0	110161700.0	10508316.0	18223675.0	17300201.0	923474.0		230831716.0	0.07894788166804599		
G1UW6_S6	173250396.0	173250396.0	12733599.0	22990840.0	21968979.0	1021861.0		359234391.0	0.06399955175783824		
G1UW8_S7	154551829.0	154551829.0	12727095.0	24645568.0	23527485.0	1118083.0		321830753.0	0.07657928203026639		
G1UW9_S8	143176193.0	143176193.0	11435497.0	36542221.0	35205069.0	1337152.0		297787883.0	0.12271224951083722		
G2UW10_S38	126054505.0	126054505.0	11029774.0	21937188.0	20936897.0	1000291.0		263138784.0	0.08336736860500199		
G2UW12_S39	119595748.0	119595748.0	11229754.0	22698330.0	21681810.0	1016520.0		250421250.0	0.09064059060483086		
G2UW14_S40	87468092.0	87468092.0	8826719.0	13146012.0	12508533.0	637479.0		183762903.0	0.07153789902851067		
G2UW16_S41	95616560.0	95616560.0	12006628.0	15209134.0	14238219.0	970915.0		203239748.0	0.07483346220248216		
G2UW18_S42	85605506.0	85605506.0	11991374.0	5839810.0	5293560.0	546250.0		183202386.0	0.03187627698254978		
G2UW20_S43	83934781.0	83934781.0	12606598.0	5831302.0	5265116.0	566186.0		180476160.0	0.032310649783328725		
G2UW23_S44	151359426.0	151359426.0	17244342.0	8397364.0	7635550.0	761814.0		319963194.0	0.026244781141920966		
G2UW25_S45	82337234.0	82337234.0	8973247.0	8539724.0	7972156.0	567568.0		173647715.0	0.049178441536072044		
G2UW26_S46	122659191.0	122659191.0	11512340.0	16479629.0	15655421.0	824208.0		256830722.0	0.06416533377186862		
G2UW27_S47	97463185.0	97463185.0	8721849.0	7528915.0	7128564.0	400351.0		203648219.0	0.036970198104212246		
G2UW28_S48	122941881.0	122941881.0	8852972.0	18799307.0	18124299.0	675008.0		254736734.0	0.07379896375683297		
G2UW2_S35	150683463.0	150683463.0	13073998.0	32857033.0	31448666.0	1408367.0		314440924.0	0.10449350097953534		
G2UW30_S49	81673506.0	81673506.0	7827565.0	12397531.0	11805411.0	592120.0		171174577.0	0.07242624002511774		
G2UW31_S50	120868264.0	120868264.0	10612483.0	15128266.0	14394975.0	733291.0		252349011.0	0.059949773292355006		
G2UW32_S51	106085771.0	106085771.0	9961417.0	16034995.0	15237011.0	797984.0		222132959.0	0.07218647368758996		
G2UW35_S52	100997182.0	100997182.0	9669573.0	17908489.0	17003076.0	905413.0		211663937.0	0.0846081257573887		
G2UW36_S53	118133453.0	118133453.0	9687932.0	21177915.0	20311244.0	866671.0		245954838.0	0.08610489296413026		
G2UW38_S54	111148650.0	111148650.0	10956925.0	20625502.0	19622348.0	1003154.0		233254225.0	0.08842498780032816		
G2UW4_S36	169439136.0	169439136.0	16964819.0	26079650.0	24667277.0	1412373.0		355843091.0	0.07328974668781753		
G2UW8_S37	89492731.0	89492731.0	10777597.0	9265936.0	8639182.0	626754.0		189763059.0	0.04882897677150114		
G3UW13_S60	102581974.0	102581974.0	11180584.0	8629350.0	8104965.0	524385.0		216344532.0	0.03988707234810076		
G3UW18_S61	118347533.0	118347533.0	11891481.0	7384087.0	6953310.0	430777.0		248586547.0	0.02970429047393301		
G3UW1_S55	93623465.0	93623465.0	9659651.0	23943714.0	22743058.0	1200656.0		196906581.0	0.12159935883504067		
G3UW20_S62	104756429.0	104756429.0	12443294.0	6191037.0	5750061.0	440976.0		221956152.0	0.027893063310991263		
G3UW27_S64	109888872.0	109888872.0	10978595.0	17628733.0	16792298.0	836435.0		230756339.0	0.07639544411388846		
G3UW29_S65	120803695.0	120803695.0	12158670.0	15244814.0	14465616.0	779198.0		253766060.0	0.06007428258924775		
G3UW2_S56	102999784.0	102999784.0	8993448.0	28739310.0	27460684.0	1278626.0		214993016.0	0.13367555158163835		
G3UW31_S66	110410711.0	110410711.0	10978309.0	12792982.0	12159472.0	633510.0		231799731.0	0.05518980520300949		
G3UW34_S67	114520005.0	114520005.0	13142490.0	11525276.0	10739167.0	786109.0		242182500.0	0.047589218874196114		
G3UW36_S68	125419894.0	125419894.0	12690624.0	17277495.0	16285551.0	991944.0		263530412.0	0.0655616741493957		
G3UW4_S57	104261186.0	104261186.0	9390088.0	15219091.0	14494113.0	724978.0		217912460.0	0.06984038911772186		
G3UW6_S58	95026738.0	95026738.0	12758542.0	13634340.0	12672256.0	962084.0		202812018.0	0.06722648950714548		
